State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Andaman and Nicobar Islands,Wood-based Industries,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Wood-based Industries,Semi-Skilled,,,01-07-2025,08-07-2025,728,18928,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Wood-based Industries,Skilled,,,01-07-2025,08-07-2025,851,22126,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Wood-based Industries,Highly Skilled,,,01-07-2025,08-07-2025,934,24284,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Educational Institutes / Schools / Nurseries / Kinder Gartens / Tutorials / Coaching Institutes in the Private Sector other than the CBSE Affiliated Institutions.,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Educational Institutes / Schools / Nurseries / Kinder Gartens / Tutorials / Coaching Institutes in the Private Sector other than the CBSE Affiliated Institutions.,Semi-Skilled,,,01-07-2025,08-07-2025,728,18928,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Educational Institutes / Schools / Nurseries / Kinder Gartens / Tutorials / Coaching Institutes in the Private Sector other than the CBSE Affiliated Institutions.,Skilled,,,01-07-2025,08-07-2025,851,22126,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Educational Institutes / Schools / Nurseries / Kinder Gartens / Tutorials / Coaching Institutes in the Private Sector other than the CBSE Affiliated Institutions.,Highly Skilled,,,01-07-2025,08-07-2025,934,24284,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Agriculture,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Agriculture,Semi-Skilled,,,01-07-2025,08-07-2025,728,18928,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Agriculture,Skilled,,,01-07-2025,08-07-2025,851,22126,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Agriculture,Highly Skilled,,,01-07-2025,08-07-2025,934,24284,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Construction or maintenance of Roads or in the Building Operations or Stone Breaking or Stone Crushing,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Construction or maintenance of Roads or in the Building Operations or Stone Breaking or Stone Crushing,Semi-Skilled,,,01-07-2025,08-07-2025,728,18928,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Construction or maintenance of Roads or in the Building Operations or Stone Breaking or Stone Crushing,Skilled,,,01-07-2025,08-07-2025,851,22126,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Construction or maintenance of Roads or in the Building Operations or Stone Breaking or Stone Crushing,Highly Skilled,,,01-07-2025,08-07-2025,934,24284,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Loading and Unloading,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Loading and Unloading,Semi-Skilled,,,01-07-2025,08-07-2025,728,18928,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Loading and Unloading,Skilled,,,01-07-2025,08-07-2025,851,22126,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,Loading and Unloading,Highly Skilled,,,01-07-2025,08-07-2025,934,24284,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
Andaman and Nicobar Islands,And shall be applicable to DRMs engaged by various Govt. Departments under A & N Administration.,Unskilled,,,01-07-2025,08-07-2025,647,16822,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_1a9c44cc0681465a80461d7a1a77b1b0.pdf,
