State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Andhra Pradesh,Shops and Establishments,,Manager,I,01-04-2025 00:00,07-04-2025 00:00,548.75,14267.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Field Officer,I,01-04-2025 00:00,07-04-2025 00:00,548.75,14267.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Development Officer,I,01-04-2025 00:00,07-04-2025 00:00,548.75,14267.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Officer Incharge,I,01-04-2025 00:00,07-04-2025 00:00,548.75,14267.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Computer Programmer,I,01-04-2025 00:00,07-04-2025 00:00,548.75,14267.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Manager,II,01-04-2025 00:00,07-04-2025 00:00,532.63,13848.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Field Officer,II,01-04-2025 00:00,07-04-2025 00:00,532.63,13848.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Development Officer,II,01-04-2025 00:00,07-04-2025 00:00,532.63,13848.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Offiecr Incharge,II,01-04-2025 00:00,07-04-2025 00:00,532.63,13848.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Computer Programmer,II,01-04-2025 00:00,07-04-2025 00:00,532.63,13848.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Accountant,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Asst Manager,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Sales Executive,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Supervisor,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Purchaser,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
Andhra Pradesh,Shops and Establishments,,Store Keeper,I,01-04-2025 00:00,07-04-2025 00:00,516.63,13432.4,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f36ac523da834a8ebffa73234139e3f2.pdf,
