State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Chhattisgarh,Applicable to all 45 scheduled employments,Unskilled,,Zone A,01-10-2025,29-09-2025,430,11176,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Semi-Skilled,,Zone A,01-10-2025,29-09-2025,455,11826,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Highly Skilled,,Zone A,01-10-2025,29-09-2025,515,13386,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Unskilled,,Zone B,01-10-2025,29-09-2025,420,10916,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Semi-Skilled,,Zone B,01-10-2025,29-09-2025,445,11566,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Highly Skilled,,Zone B,01-10-2025,29-09-2025,505,13216,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Unskilled,,Zone C,01-10-2025,29-09-2025,410,10656,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Semi-Skilled,,Zone C,01-10-2025,29-09-2025,435,11306,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Highly Skilled,,Zone C,01-10-2025,29-09-2025,495,12866,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Skilled,,Zone A,01-10-2025,29-09-2025,485,12606,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Skilled,,Zone B,01-10-2025,29-09-2025,475,12346,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
Chhattisgarh,Applicable to all 45 scheduled employments,Skilled,,Zone C,01-10-2025,29-09-2025,465,12086,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_36090739585643da9e7ea781f1f13845.pdf,
