State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Goa,Employment in Agriculture,Unskilled,,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Semi-Skilled,,Zone A,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Skilled,,Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Highly Skilled,,Zone A,01-04-2025,10-04-2025,702,18252,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Unskilled,,Zone B,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Semi-Skilled,,Zone B,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Skilled,,Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Agriculture,Highly Skilled,,Zone B,01-04-2025,10-04-2025,702,18252,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Automobile Repairing Workshops and Garages,Unskilled,Cleaner; Mazdoor; Coolie; Sweeper; Helper; Peon; Chowkidar; Watchman; Pump/Serviceman; Vehicle Attendant; Petrol Pump Attendant; Office Boy; Attendant; Messenger.,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Automobile Repairing Workshops and Garages,Semi-Skilled,Assistant Electrician (Grade-II); Assistant Mechanic (Grade-II); Assistant Fitter (Grade-II); Assistant Blacksmith (Grade-II); Assistant Carpenter (Grade-II); Assistant Welder (Grade-II); Assistant Turner (Grade-II); Assistant Machinist (Grade-II); Assistant Cushion Maker (Grade-II); Assistant Vulcanizer (Grade-II); Assistant Painter (Grade-II); Assistant Boring Barman (Grade-II); Assistant Sprayman (Grade-II); Assistant Batteryman (Grade-II); Assistant Tinsmith (Grade-II); Office Assistant (Grade-II),Zone A,01-04-2025,10-04-2025,600,15600,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
