State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (â‚¹),Monthly Rate (â‚¹),PDF URL,Notes
Haryana,All scheduled employments except Bric kiln,Unskilled,,,01-07-2025,30-10-2025,433.64,11274.6,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Semi-Skilled,(A),,01-07-2025,30-10-2025,455.32,11838.29,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Semi-Skilled,(B),,01-07-2025,30-10-2025,478.08,12430.08,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Skilled,(A),,01-07-2025,30-10-2025,501.99,13051.71,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Skilled,(B),,01-07-2025,30-10-2025,527.09,13704.31,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Highly Skilled,,,01-07-2025,30-10-2025,553.44,14389.52,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Clerical / Supervisory,Clerical & General Staff (i) Less than Matric,,01-07-2025,30-10-2025,455.32,11838.29,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,(ii) Matric but not Graduate,,,01-07-2025,30-10-2025,478.08,12430.18,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,(iii) Graduate or above,,,01-07-2025,30-10-2025,501.99,13051.71,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Clerical / Supervisory,(iv) Steno typist,,01-07-2025,30-10-2025,478.08,12430.08,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,v) Junior Pay Scale,,,01-07-2025,30-10-2025,501.99,13051.71,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,vi) Senior Pay Scale,,,01-07-2025,30-10-2025,527.09,13704.31,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,(vii) Private Assistant,,,01-07-2025,30-10-2025,553.44,14389.52,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,viii) Private Secretary,,,01-07-2025,30-10-2025,581.12,15108.99,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Data Entry Operator,,,01-07-2025,30-10-2025,501.99,13051.71,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Driver – Light Vehicle,,,01-07-2025,30-10-2025,527.09,13704.31,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Driver – Heavy Vehicle,,,01-07-2025,30-10-2025,553.44,14389.52,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Security Guard – Unarmed,,,01-07-2025,30-10-2025,455.32,11838.29,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
Haryana,All scheduled employments except Bric kiln,Security Guard – Armed,,,01-07-2025,30-10-2025,527.09,13704.31,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_620bc732b53e4a8ab478b44ea627c8f8.pdf,
