State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Himachal Pradesh,Shops & commercial Establishments,Unskilled,"Helper/Shop Assistant/ Pelledar/ Chowkidar/ Peon/ Sweeper/
Masalchi/ Gateman/ Waterman/ Cleaner/ Packer/ Mazdoor/Lander/ Unlander/ Messenger/ Clock Room Attendant/Porter/ Bhishit/ Beldar/ Fireman/ Pandi/ Posterman/",,01-04-2025,24-06-2025,425,12750,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: No Benefits Provided
Himachal Pradesh,Shops & commercial Establishments,Unskilled,"Helper/Shop Assistant/ Pelledar/ Chowkidar/ Peon/ Sweeper/
Masalchi/ Gateman/ Waterman/ Cleaner/ Packer/ Mazdoor/Lander/ Unlander/ Messenger/ Clock Room Attendant/Porter/ Bhishit/ Beldar/ Fireman/ Pandi/ Posterman/",,01-04-2025,24-06-2025,394,11820,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: Food+Tea+Accommodation Provided
Himachal Pradesh,Shops & commercial Establishments,Semi-Skilled,"Head porter, Pantryman/Coffee-Teamaker/ Chapatiman/
Assistant Baker/Gate Keeper (Cinema) / Asstt. Lineman /
Assistant Operator/ Binder Assistant/ Bill Collector
/Convesser / Cook/Assistant Halwai/Book Binder/ Sticher/
Rulling-cutting/Auctioners /Mali/ Sewerman/ Hotel Guide/
Assistant Mistry/ Assistant Fitter/ Assistant Turner/Assistant/Welder/ Assistant Electrician/ Assistant/Salesman/Assistant Barbar/ Dhobi/ Pressman/Boilerman/ Film Rewinder/ Waiter/ Bearer/ Assistant Radio Machanic/Painter/
WhiteWasher/Pakora and Chanamaker/Clerk (Non-matric/
Assistant Store Keeper/ Distributor and Assistant Machine man/ Enquiry Attendent/ Telephone Attendent/ ITI Certificate Holder",,01-04-2025,24-06-2025,449,13470,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: No Benefits Provided
Himachal Pradesh,Shops & commercial Establishments,Semi-Skilled,"Head porter, Pantryman/Coffee-Teamaker/ Chapatiman/
Assistant Baker/Gate Keeper (Cinema) / Asstt. Lineman /
Assistant Operator/ Binder Assistant/ Bill Collector
/Convesser / Cook/Assistant Halwai/Book Binder/ Sticher/
Rulling-cutting/Auctioners /Mali/ Sewerman/ Hotel Guide/
Assistant Mistry/ Assistant Fitter/ Assistant Turner/Assistant/Welder/ Assistant Electrician/ Assistant/Salesman/Assistant Barbar/ Dhobi/ Pressman/Boilerman/ Film Rewinder/ Waiter/ Bearer/ Assistant Radio Machanic/Painter/
WhiteWasher/Pakora and Chanamaker/Clerk (Non-matric/
Assistant Store Keeper/ Distributor and Assistant Machine man/ Enquiry Attendent/ Telephone Attendent/ ITI Certificate Holder",,01-04-2025,24-06-2025,439,13170,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: Food+Tea+Accommodation Provided
Himachal Pradesh,Shops & commercial Establishments,Skilled,"Blacksmith/Tinsmith/Watchmaker/Radio
Mechanic/Carpenter/Plumber/Driver/Assistant Tailor/Cutter
(Tailoring) /General mechanic/ Halwai/ Cook/
Confectioner/Baker/ Steward/ Butler/ Fitter/
Draughtsman/TelephoneOperator/ Compounder / Goldsmith./
Shoe Maker / Shawl-Carpet Weaving/
Compositor/CinemaOperator/Salesmen/Drycleaner/Dyer/Bar
ber/Regular machine man/ machinist/
Welder/Moulder/Cashier/Clerk/(Matric)Munim/receptionist/
Waiter/ Bearer / Storekeeper/ headwaiter /Head bearer (Western Style Hotels)/Lineman.ITI certificate holder who are working in the same trade.",,01-04-2025,24-06-2025,493,14790,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: No Benefits Provided
Himachal Pradesh,Shops & commercial Establishments,Skilled,"Blacksmith/Tinsmith/Watchmaker/Radio
Mechanic/Carpenter/Plumber/Driver/Assistant Tailor/Cutter
(Tailoring) /General mechanic/ Halwai/ Cook/
Confectioner/Baker/ Steward/ Butler/ Fitter/
Draughtsman/TelephoneOperator/ Compounder / Goldsmith./
Shoe Maker / Shawl-Carpet Weaving/
Compositor/CinemaOperator/Salesmen/Drycleaner/Dyer/Bar
ber/Regular machine man/ machinist/
Welder/Moulder/Cashier/Clerk/(Matric)Munim/receptionist/
Waiter/ Bearer / Storekeeper/ headwaiter /Head bearer (Western Style Hotels)/Lineman.ITI certificate holder who are working in the same trade.",,01-04-2025,24-06-2025,454,13620,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: Food+Tea+Accommodation Provided
Himachal Pradesh,Shops & commercial Establishments,Highly Skilled,"Store Keeper/ Clerks (Graduates) Accountant /Head Cashier/
Head Cook/ Head Butler/Head Baker/ Head Confectioner/Head mechanic/ Electrician/ Foremen/ Supervisor./ Tailor/Cutter (Tailoring)",,01-04-2025,24-06-2025,513,15390,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: No Benefits Provided
Himachal Pradesh,Shops & commercial Establishments,Highly Skilled,"Store Keeper/ Clerks (Graduates) Accountant /Head Cashier/
Head Cook/ Head Butler/Head Baker/ Head Confectioner/Head mechanic/ Electrician/ Foremen/ Supervisor./ Tailor/Cutter (Tailoring)",,01-04-2025,24-06-2025,475,14250,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,Benefit: Food+Tea+Accommodation Provided
Himachal Pradesh,"Construction or Maintenance of Roads or Building Operations, Stone Breaking and Stone Crushing",Semi-Skilled,"Carpenter Grade-II/ Mason Grade-II/ Sewer Man/Black Smith Grade-II/Sanitary Fitter Grade-II/Painter/Melter Mate/Sprayman Roads/Craneman/ Badhani/Upholster /Fitter Attendant/Black Smith (Boatman)/Caneman/ Distempterer Grade-I/Fitter Grade-II/ Flour Polisher/Stone Dresser / Mali/ Well Sinker/ White Washer/ Work Shop Mechanic Grade-II/Turner Grade-II/Pipe Fitter Grade-II/Brick Moulder/Assistant Fitter/ Assistant Fireman/ Assistant Welder/ Assistant turner/ battery Charger/ Dresser/(Qualified /Experienced)/Hammer Man /Cook/Vulcaniser/ Nozzle Man/ Tunnel Man/ Alloy Trolley Operator/ Attendant (Store Office) Mechanical Attendant/ Tunnel Jublliman/ Tunnel Man /Helper ( 5 years and above ) Oil Cleaner/Navgani/ Mate/Head Watchman/ Assistant Leveler/Khalasi ( 3 to 8 years)/stone Dresser/ Pump Attendant/Auto Electrician Grade-II/ Gardner/ Gauge reader/ Asstt. Lab, Attendant/Auto electrician/Motor Mate/ Enquiry Attendant/Telephone Attendant",,01-04-2025,24-06-2025,452,13560,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,
Himachal Pradesh,"Construction or Maintenance of Roads or Building Operations, Stone Breaking and Stone Crushing",Skilled,"Carpenter Grade-I/ Mason Grade-I/Black Smith / Sanitary Fitter Grade-I/ Upholster Grade-I/Astt. Pump Operator/ Pump Operator/ Pump Driver/ Chargeman Grade-II/Water Supply Fitter / Carpenter Grade-II/ Compressor Operator/ Compressor Driver/ Darji or Tailor Grade-I/ Darji or Tailor Grade-II/Crasher Driver/ Stone Dresser for ornamental work/ Plumber Grade-I/ Pipe Fitter Grade-I/Auto Driver/ Asstt. Mechanic/ Mixer Driver/ Mixer Operator/ Structural Fitter Grade-II/ Workshop Fitter / Generator Operator/ Generator Driver/ Plant Shop Fitter/ diesel Engine Fitter/ Trolley Line Fitter / Crushing Plant Fitter/ B. Plant Fitter/ Jack Hammer Fitter/ Electrical fitter/ Bunch Fitter/ Shaper/ Auto Fitter/ Pipe Line Fitter/ refrigerator Plant Fitter/ Tractor Operator/Shaft Minor/ Kochring Operator/Dozer Operator/ Roclain Operator/ Scrapper Operator/ Loader operator/ Crane Operator/ Eucild operator/ Wagon Drill
Operator/ Boaring Operator/ SLD crane Operator/ B Plant Operator/ Ice Plant Operator or Welder/ Gas Cutter/ turner/ Black Smith/ Tin Smith/ Traction Battery Charger/ Line Man/) Telephone Operator/ Khalssi /Jamadar/ Winder/ Blaster Driller/ Winch Fitter / Compounder/Painter /Miller /Climber/ Moulder/ Levellers/ Saw Mill Cutter/Cable Jointer/Foreman Grade-II/Khalasi( 8 years to above) /Tracer Operator/E.M.E./Driver/Compressor/Rocker Showel Operator/Snow Cutter Operator /Loco Operator/Driller Mason for Glazed Type work/WorkMistry/Motor Mate / Tractor Driver/Telephone mechanic/D.G. Set Operator/Workshop Forman Grade-II.",,01-04-2025,24-06-2025,493,14790,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_54b28012fb9d4f8da30fd42f16da638f.pdf,
