State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Jharkhand,Employments specified in employment category A,Unskilled,,Area A,01-04-2025,23-07-2025,501,13026,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Unskilled,,Area B,01-04-2025,23-07-2025,477,12402,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Unskilled,,Area C,01-04-2025,23-07-2025,455,11830,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Semi-Skilled,,Area A,01-04-2025,23-07-2025,525,13650,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Semi-Skilled,,Area B,01-04-2025,23-07-2025,501,13026,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Semi-Skilled,,Area C,01-04-2025,23-07-2025,477,12402,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Skilled,,Area A,01-04-2025,23-07-2025,692,17992,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Skilled,,Area B,01-04-2025,23-07-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Skilled,,Area C,01-04-2025,23-07-2025,629,16354,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
Jharkhand,Employments specified in employment category A,Highly Skilled,,Area A,01-04-2025,23-07-2025,798,20748,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_0ebb77bbb8144e11ab59da74c919bb68.pdf,
