State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Karnataka,Employment in shops and commercial Establishments,Unskilled,"Messenger, Weighingman, Birycle Fitter/repairer, Workers engaged in dryi.g storing, washing Ironing, (in Laundry), measuring, loading and unloading in warehousing godowns, storerooms Workers engaged in grinding establishment services, General workers (in all shops & commercial establishments other than in administration) and clerical cadre and who are not covered in any of the above categories) and other unskilled worke",Zone 1,2025-04-01,NaT,603.91,15701.43,,
Karnataka,Employment in shops and commercial Establishments,Unskilled,"Messenger, Weighingman, Birycle Fitter/repairer, Workers engaged in dryi.g storing, washing Ironing, (in Laundry), measuring, loading and unloading in warehousing godowns, storerooms Workers engaged in grinding establishment services, General workers (in all shops & commercial establishments other than in administration) and clerical cadre and who are not covered in any of the above categories) and other unskilled worke",Zone 2,2025-04-01,NaT,582.68,15149.63,,
Karnataka,Employment in shops and commercial Establishments,Unskilled,"Messenger, Weighingman, Birycle Fitter/repairer, Workers engaged in dryi.g storing, washing Ironing, (in Laundry), measuring, loading and unloading in warehousing godowns, storerooms Workers engaged in grinding establishment services, General workers (in all shops & commercial establishments other than in administration) and clerical cadre and who are not covered in any of the above categories) and other unskilled worke",Zone 3,2025-04-01,NaT,562.47,14624.1,,
Karnataka,Employment in shops and commercial Establishments,Unskilled,"Messenger, Weighingman, Birycle Fitter/repairer, Workers engaged in dryi.g storing, washing Ironing, (in Laundry), measuring, loading and unloading in warehousing godowns, storerooms Workers engaged in grinding establishment services, General workers (in all shops & commercial establishments other than in administration) and clerical cadre and who are not covered in any of the above categories) and other unskilled worke",Zone 4,2025-04-01,NaT,543.22,14123.6,,
Karnataka,Employment in shops and commercial Establishments,Semi-Skilled,"Bill collector, Bill clerk, Godown Keeper, Booking clerk, Assistant Sales man /Sales Girl, Assistant Photo artists, Shop Assistant, Packer, Gas Supplier, Stove Repairer, Painter, Fruit Juice or Lassi maker in the shop and other semi skilled work",Zone 1,2025-04-01,NaT,648.47,16860.21,,
Karnataka,Employment in shops and commercial Establishments,Semi-Skilled,"Bill collector, Bill clerk, Godown Keeper, Booking clerk, Assistant Sales man /Sales Girl, Assistant Photo artists, Shop Assistant, Packer, Gas Supplier, Stove Repairer, Painter, Fruit Juice or Lassi maker in the shop and other semi skilled work",Zone 2,2025-04-01,NaT,625.13,16253.23,,
Karnataka,Employment in shops and commercial Establishments,Semi-Skilled,"Bill collector, Bill clerk, Godown Keeper, Booking clerk, Assistant Sales man /Sales Girl, Assistant Photo artists, Shop Assistant, Packer, Gas Supplier, Stove Repairer, Painter, Fruit Juice or Lassi maker in the shop and other semi skilled work",Zone 3,2025-04-01,NaT,602.9,15675.15,,
Karnataka,Employment in shops and commercial Establishments,Semi-Skilled,"Bill collector, Bill clerk, Godown Keeper, Booking clerk, Assistant Sales man /Sales Girl, Assistant Photo artists, Shop Assistant, Packer, Gas Supplier, Stove Repairer, Painter, Fruit Juice or Lassi maker in the shop and other semi skilled work",Zone 4,2025-04-01,NaT,581.72,15124.6,,
Karnataka,Employment in shops and commercial Establishments,Skilled,"Salesmen/Sales Girl,compounder, Photo-artist, Photographer, Watch Mechanic / Repairer,Radio Mechanic/Repairer, T. V.Mechanic/ Repairer, Optical Mechanic/ Repairer, Skilled labour in Iift fixing installing establishment, Technician/Mechanical Instrument shop, Carpenter (Furniture shop), Polisher (Furniture shop), Refractionarian, (Optical shop), Hair Dresser (in hair dressing saloon), Air Condition plant operator, Umbrella / Suitcase maker and other skilled work",Zone 1,2025-04-01,NaT,697.5,18134.87,,
Karnataka,Employment in shops and commercial Establishments,Skilled,"Salesmen/Sales Girl,compounder, Photo-artist, Photographer, Watch Mechanic / Repairer,Radio Mechanic/Repairer, T. V.Mechanic/ Repairer, Optical Mechanic/ Repairer, Skilled labour in Iift fixing installing establishment, Technician/Mechanical Instrument shop, Carpenter (Furniture shop), Polisher (Furniture shop), Refractionarian, (Optical shop), Hair Dresser (in hair dressing saloon), Air Condition plant operator, Umbrella / Suitcase maker and other skilled work",Zone 2,2025-04-01,NaT,671.82,17467.19,,
