State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Kerala,Shops & Commercial Establishments,Special,Thiruvananthapuram,01-07-2025,21-10-2025,,15154,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade A,Thiruvananthapuram,01-07-2025,21-10-2025,,14944,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade B,Thiruvananthapuram,01-07-2025,21-10-2025,,14734,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade C,Thiruvananthapuram,01-07-2025,21-10-2025,,14524,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade D,Thiruvananthapuram,01-07-2025,21-10-2025,,14314,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade E,Thiruvananthapuram,01-07-2025,21-10-2025,,14104,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade F,Thiruvananthapuram,01-07-2025,21-10-2025,,NA,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade G,Thiruvananthapuram,01-07-2025,21-10-2025,,NA,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade H,Thiruvananthapuram,01-07-2025,21-10-2025,,NA,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
Kerala,Shops & Commercial Establishments,Grade I,Thiruvananthapuram,01-07-2025,21-10-2025,,NA,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_be4ced60c75747b9b4a0547e5a6e79c9.pdf,
