State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Maharashtra,Shops & Commercial Establishments,Unskilled,,Zone I,2025-07-01,2025-08-04,524.42,13635.0,,
Maharashtra,Shops & Commercial Establishments,Unskilled,,Zone II,2025-07-01,2025-08-04,501.5,13039.0,,
Maharashtra,Shops & Commercial Establishments,Unskilled,,Zone III,2025-07-01,2025-08-04,478.54,12442.0,,
Maharashtra,Shops & Commercial Establishments,Semi-skilled,,Zone I,2025-07-01,2025-08-04,556.54,14470.0,,
Maharashtra,Shops & Commercial Establishments,Semi-skilled,,Zone II,2025-07-01,2025-08-04,533.62,13874.0,,
Maharashtra,Shops & Commercial Establishments,Semi-skilled,,Zone III,2025-07-01,2025-08-04,510.69,13278.0,,
Maharashtra,Shops & Commercial Establishments,Skilled,,Zone I,2025-07-01,2025-08-04,586.38,15246.0,,
Maharashtra,Shops & Commercial Establishments,Skilled,,Zone II,2025-07-01,2025-08-04,563.46,14650.0,,
Maharashtra,Shops & Commercial Establishments,Skilled,,Zone III,2025-07-01,2025-08-04,540.54,14054.0,,
Maharashtra,Factories under Factories Act (Residuary),Unskilled,,Zone I,2025-07-01,2025-08-04,517.31,13450.0,,
Maharashtra,Factories under Factories Act (Residuary),Unskilled,,Zone II,2025-07-01,2025-08-04,492.5,12805.0,,
Maharashtra,Factories under Factories Act (Residuary),Unskilled,,Zone III,2025-07-01,2025-08-04,465.38,12100.0,,
Maharashtra,Factories under Factories Act (Residuary),Semi-skilled,,Zone I,2025-07-01,2025-08-04,559.42,14545.0,,
Maharashtra,Factories under Factories Act (Residuary),Semi-skilled,,Zone II,2025-07-01,2025-08-04,534.62,13900.0,,
Maharashtra,Factories under Factories Act (Residuary),Semi-skilled,,Zone III,2025-07-01,2025-08-04,510.0,13260.0,,
Maharashtra,Factories under Factories Act (Residuary),Skilled,,Zone I,2025-07-01,2025-08-04,604.04,15705.0,,
Maharashtra,Factories under Factories Act (Residuary),Skilled,,Zone II,2025-07-01,2025-08-04,571.92,14870.0,,
Maharashtra,Factories under Factories Act (Residuary),Skilled,,Zone III,2025-07-01,2025-08-04,552.12,14355.0,,
Maharashtra,Advocates or Attorneys,Unskilled,,Zone I,2025-07-01,2025-08-04,648.73,16867.0,,
Maharashtra,Advocates or Attorneys,Unskilled,,Zone II,2025-07-01,2025-08-04,616.42,16027.0,,
Maharashtra,Advocates or Attorneys,Semi-skilled,,Zone I,2025-07-01,2025-08-04,689.31,17922.0,,
Maharashtra,Advocates or Attorneys,Semi-skilled,,Zone II,2025-07-01,2025-08-04,657.0,17082.0,,
Maharashtra,Advocates or Attorneys,Skilled,,Zone I,2025-07-01,2025-08-04,745.85,19392.0,,
Maharashtra,Advocates or Attorneys,Skilled,,Zone II,2025-07-01,2025-08-04,713.54,18552.0,,
Maharashtra,Agriculture Employment,Unskilled,,Zone I,2025-07-01,2025-08-04,339.04,8815.0,,
Maharashtra,Agriculture Employment,Unskilled,,Zone II,2025-07-01,2025-08-04,259.88,6757.0,,
Maharashtra,Agriculture Employment,Unskilled,,Zone III,2025-07-01,2025-08-04,314.04,8165.0,,
Maharashtra,Agriculture Employment,Semi-skilled,,Zone I,2025-07-01,2025-08-04,399.04,10375.0,,
Maharashtra,Agriculture Employment,Semi-skilled,,Zone II,2025-07-01,2025-08-04,389.04,10115.0,,
Maharashtra,Agriculture Employment,Semi-skilled,,Zone III,2025-07-01,2025-08-04,384.04,9985.0,,
Maharashtra,Automobile Repairing,Unskilled,,Zone I,2025-07-01,2025-08-04,513.31,13346.0,,
Maharashtra,Automobile Repairing,Unskilled,,Zone II,2025-07-01,2025-08-04,501.77,13046.0,,
Maharashtra,Automobile Repairing,Unskilled,,Zone III,2025-07-01,2025-08-04,490.23,12746.0,,
Maharashtra,Automobile Repairing,Semi-skilled,,Zone I,2025-07-01,2025-08-04,524.85,13646.0,,
Maharashtra,Automobile Repairing,Semi-skilled,,Zone II,2025-07-01,2025-08-04,513.31,13346.0,,
Maharashtra,Automobile Repairing,Semi-skilled,,Zone III,2025-07-01,2025-08-04,501.77,13046.0,,
Maharashtra,Automobile Repairing,Skilled,,Zone I,2025-07-01,2025-08-04,540.23,14046.0,,
Maharashtra,Automobile Repairing,Skilled,,Zone II,2025-07-01,2025-08-04,528.69,13746.0,,
Maharashtra,Automobile Repairing,Skilled,,Zone III,2025-07-01,2025-08-04,517.15,13446.0,,
Maharashtra,Bakeries,Unskilled,,Zone I,2025-07-01,2025-08-04,530.31,13788.0,,
Maharashtra,Bakeries,Unskilled,,Zone II,2025-07-01,2025-08-04,516.85,13438.0,,
Maharashtra,Bakeries,Unskilled,,Zone III,2025-07-01,2025-08-04,501.46,13038.0,,
Maharashtra,Bakeries,Semi-skilled,,Zone I,2025-07-01,2025-08-04,566.85,14738.0,,
Maharashtra,Bakeries,Semi-skilled,,Zone II,2025-07-01,2025-08-04,551.46,14338.0,,
Maharashtra,Bakeries,Semi-skilled,,Zone III,2025-07-01,2025-08-04,538.0,13988.0,,
Maharashtra,Bakeries,Skilled,,Zone I,2025-07-01,2025-08-04,601.46,15638.0,,
Maharashtra,Bakeries,Skilled,,Zone II,2025-07-01,2025-08-04,588.0,15288.0,,
Maharashtra,Bakeries,Skilled,,Zone III,2025-07-01,2025-08-04,572.62,14888.0,,
Maharashtra,Bricks or Roof Tiles,Unskilled,,Zone I,2025-07-01,2025-08-04,516.46,13428.0,,
Maharashtra,Bricks or Roof Tiles,Unskilled,,Zone II,2025-07-01,2025-08-04,506.85,13178.0,,
Maharashtra,Bricks or Roof Tiles,Semi-skilled,,Zone I,2025-07-01,2025-08-04,535.69,13928.0,,
Maharashtra,Bricks or Roof Tiles,Semi-skilled,,Zone II,2025-07-01,2025-08-04,526.08,13678.0,,
Maharashtra,Bricks or Roof Tiles,Skilled,,Zone I,2025-07-01,2025-08-04,554.92,14428.0,,
Maharashtra,Bricks or Roof Tiles,Skilled,,Zone II,2025-07-01,2025-08-04,543.38,14128.0,,
Maharashtra,Canteen & Clubs,Unskilled,,Zone I,2025-07-01,2025-08-04,542.92,14116.0,,
Maharashtra,Canteen & Clubs,Unskilled,,Zone II,2025-07-01,2025-08-04,531.38,13816.0,,
Maharashtra,Canteen & Clubs,Unskilled,,Zone III,2025-07-01,2025-08-04,523.69,13616.0,,
Maharashtra,Canteen & Clubs,Semi-skilled,,Zone I,2025-07-01,2025-08-04,562.15,14616.0,,
Maharashtra,Canteen & Clubs,Semi-skilled,,Zone II,2025-07-01,2025-08-04,550.62,14316.0,,
Maharashtra,Canteen & Clubs,Semi-skilled,,Zone III,2025-07-01,2025-08-04,542.92,14116.0,,
Maharashtra,Canteen & Clubs,Skilled,,Zone I,2025-07-01,2025-08-04,589.08,15316.0,,
Maharashtra,Canteen & Clubs,Skilled,,Zone II,2025-07-01,2025-08-04,577.54,15016.0,,
Maharashtra,Canteen & Clubs,Skilled,,Zone III,2025-07-01,2025-08-04,569.85,14816.0,,
Maharashtra,Card board Boxes,Unskilled,,Zone I,2025-07-01,2025-08-04,550.85,14322.0,,
Maharashtra,Card board Boxes,Unskilled,,Zone II,2025-07-01,2025-08-04,550.85,14322.0,,
Maharashtra,Card board Boxes,Unskilled,,Zone III,2025-07-01,2025-08-04,550.85,14322.0,,
Maharashtra,Card board Boxes,Semi-skilled,,Zone I,2025-07-01,2025-08-04,521.04,13547.0,,
Maharashtra,Card board Boxes,Semi-skilled,,Zone II,2025-07-01,2025-08-04,521.04,13547.0,,
Maharashtra,Card board Boxes,Semi-skilled,,Zone III,2025-07-01,2025-08-04,521.04,13547.0,,
Maharashtra,Card board Boxes,Skilled,,Zone I,2025-07-01,2025-08-04,492.77,12812.0,,
Maharashtra,Card board Boxes,Skilled,,Zone II,2025-07-01,2025-08-04,492.77,12812.0,,
Maharashtra,Card board Boxes,Skilled,,Zone III,2025-07-01,2025-08-04,492.77,12812.0,,
Maharashtra,Cashew Processing,Group III,,Zone I,2025-07-01,2025-08-04,460.46,11972.0,,
Maharashtra,Cashew Processing,Group II (A),,Zone I,2025-07-01,2025-08-04,479.69,12472.0,,
Maharashtra,Cashew Processing,Group I,,Zone I,2025-07-01,2025-08-04,498.92,12972.0,,
Maharashtra,Cement and Cement Based Industry,Unskilled,,Zone I,2025-07-01,2025-08-04,409.23,10640.0,,
Maharashtra,Cement and Cement Based Industry,Unskilled,,Zone II,2025-07-01,2025-08-04,397.69,10340.0,,
Maharashtra,Cement and Cement Based Industry,Unskilled,,Zone III,2025-07-01,2025-08-04,386.15,10040.0,,
Maharashtra,Cement and Cement Based Industry,Semi-skilled,,Zone I,2025-07-01,2025-08-04,413.08,10740.0,,
Maharashtra,Cement and Cement Based Industry,Semi-skilled,,Zone II,2025-07-01,2025-08-04,401.54,10440.0,,
Maharashtra,Cement and Cement Based Industry,Semi-skilled,,Zone III,2025-07-01,2025-08-04,390.0,10140.0,,
Maharashtra,Cement and Cement Based Industry,Skilled,,Zone I,2025-07-01,2025-08-04,416.92,10840.0,,
Maharashtra,Cement and Cement Based Industry,Skilled,,Zone II,2025-07-01,2025-08-04,405.38,10540.0,,
Maharashtra,Cement and Cement Based Industry,Skilled,,Zone III,2025-07-01,2025-08-04,393.85,10240.0,,
Maharashtra,Chemical Fertilizers,Unskilled,,Zone I,2025-07-01,2025-08-04,557.04,14483.0,,
Maharashtra,Chemical Fertilizers,Unskilled,,Zone II,2025-07-01,2025-08-04,557.04,14483.0,,
Maharashtra,Chemical Fertilizers,Unskilled,,Zone III,2025-07-01,2025-08-04,510.69,13278.0,,
Maharashtra,Chemical Fertilizers,Semi-skilled,,Zone I,2025-07-01,2025-08-04,616.46,16028.0,,
Maharashtra,Chemical Fertilizers,Semi-skilled,,Zone II,2025-07-01,2025-08-04,616.46,16028.0,,
Maharashtra,Chemical Fertilizers,Semi-skilled,,Zone III,2025-07-01,2025-08-04,568.38,14778.0,,
Maharashtra,Chemical Fertilizers,Skilled,,Zone I,2025-07-01,2025-08-04,675.5,17563.0,,
Maharashtra,Chemical Fertilizers,Skilled,,Zone II,2025-07-01,2025-08-04,675.5,17563.0,,
Maharashtra,Chemical Fertilizers,Skilled,,Zone III,2025-07-01,2025-08-04,627.62,16318.0,,
Maharashtra,"Cinema Exhibition (Multiplex, Zone I and Zone II",Unskilled,,Zone I,2025-07-01,2025-08-04,460.5,11973.0,,
Maharashtra,"Cinema Exhibition (Multiplex, Zone I and Zone II",Unskilled,,Zone II,2025-07-01,2025-08-04,441.27,11473.0,,
