State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Manipur,Shops & Commercial Establishments,Grocery/Kirana/General/Cloth/Commission Agent,Salesman Grade I / Godown Keeper / Driver,,27-02-2025,27-02-2025,480,14400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Shops & Commercial Establishments,Grocery/Kirana/General/Cloth/Commission Agent,Salesman Grade II,,27-02-2025,27-02-2025,440,13200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Shops & Commercial Establishments,Grocery/Kirana/General/Cloth/Commission Agent,Helper / Pallidar,,27-02-2025,27-02-2025,400,12000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Shops & Commercial Establishments,Furniture,Carpenter,,27-02-2025,27-02-2025,480,14400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Shops & Commercial Establishments,Furniture,Blacksmith / Painter / Polisher / Cane-man,,27-02-2025,27-02-2025,440,13200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Shops & Commercial Establishments,Furniture,Upholster / Welder / Helper,,27-02-2025,27-02-2025,400,12000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Agriculture,Skilled Labour,Surveyor / Senior Field Assistant / Laboratory / LDC / Senior Carpenter / Senior Driver / Blacksmith / Senior Mechanic and such other skilled employees,,27-02-2025,27-02-2025,480,14400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Agriculture,Semi-Skilled Labour,Junior Field Assistant / Junior Laboratory / Cinema Operator / Junior Carpenter / Assistant Cinema Operator / Road Mohorrir / Thatcher / Junior Mechanics / Junior Driver and such other semi-skilled employees,,27-02-2025,27-02-2025,440,13200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Agriculture,Unskilled Labour,Peon / Mali / Chowkidar / Laboratory Attendant / Field man / Chairman / Man Labour / Woman Labour / Pump Operator / Second Driver / Cleaner and such other unskilled employees,,27-02-2025,27-02-2025,400,12000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Construction or maintenance of roads / building operations,Skilled,"Mason (Mistri), Carpenter, Plumber, Electrician, Welder, Blacksmith, Machine/Concrete Mixer Operator, Head Mason/Head Carpenter and other skilled workers",,27-02-2025,27-02-2025,480,14400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Construction or maintenance of roads / building operations,Semi-Skilled,"Bar-bender, Assistant Mason/Assistant Carpenter, Assistant Plumber/Electrician, Roller/Compactor Assistant, Store/Time-keeper (semi-skilled), and similar",,27-02-2025,27-02-2025,440,13200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Construction or maintenance of roads / building operations,Unskilled,"Coolie/General Labourer, Water-carrier, Earth-cutter, Helper, Watchman/Chowkidar, and other unskilled workers",,27-02-2025,27-02-2025,400,12000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Public Motor Transport,Skilled,Driver / Station Master,,27-02-2025,27-02-2025,480,14400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Public Motor Transport,Semi-Skilled,Line Checker / Fitter / Ticket Salesman / Second Driver / Traffic Inspector / Assistant Station Master,,27-02-2025,27-02-2025,440,13200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
Manipur,Employment in Public Motor Transport,Unskilled,Helper / Cleaner / Conductor,,27-02-2025,27-02-2025,400,12000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_c2046a5f87334050bdb88c90cc99bce1.pdf,
