State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Mizoram,Daily-waged Employees (Govt/Contract),Unskilled,,,01-04-2023,16-06-2023,420,10920,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Daily-waged Employees (Govt/Contract),Semi-Skilled,,,01-04-2023,16-06-2023,460,11960,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Daily-waged Employees (Govt/Contract),Skilled-II,,,01-04-2023,16-06-2023,570,14820,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Daily-waged Employees (Govt/Contract),Skilled-I,,,01-04-2023,16-06-2023,730,18980,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Roads & Building Operations,Unskilled,,,01-04-2023,16-06-2023,420,10920,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Roads & Building Operations,Semi-Skilled,,,01-04-2023,16-06-2023,460,11960,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Roads & Building Operations,Skilled-II,,,01-04-2023,16-06-2023,570,14820,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Roads & Building Operations,Skilled-I,,,01-04-2023,16-06-2023,730,18980,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Employment in Registered Factories,Unskilled,,,01-04-2023,16-06-2023,420,10920,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Employment in Registered Factories,Semi-Skilled,,,01-04-2023,16-06-2023,460,11960,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Employment in Registered Factories,Skilled-II,,,01-04-2023,16-06-2023,570,14820,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Employment in Registered Factories,Skilled-I,,,01-04-2023,16-06-2023,730,18980,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Public Motor Transport Employees,Unskilled,,,01-04-2023,16-06-2023,380,9880,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Public Motor Transport Employees,Semi-Skilled,,,01-04-2023,16-06-2023,420,10920,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Public Motor Transport Employees,Skilled-II,,,01-04-2023,16-06-2023,460,11960,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
Mizoram,Public Motor Transport Employees,Skilled-I,,,01-04-2023,16-06-2023,510,13260,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_491c51ff90e2494396e37c7aa29d1d78.pdf,
