State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Puducherry,Employment in Shops and Establishments,General category,Manager,,02-09-2024,02-09-2024,,11695,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Sales Manager,,02-09-2024,02-09-2024,,11695,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Field Officer,,02-09-2024,02-09-2024,,11695,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Development Officer,,02-09-2024,02-09-2024,,11695,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Office In-charge,,02-09-2024,02-09-2024,,11695,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Assistant Manager,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Accountant,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Supervisor,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Sales Executive,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Purchaser,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Storekeeper,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Agent,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Sales Promotion Employees,,02-09-2024,02-09-2024,,11283,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Cashier,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Clerk,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Typist-cum-Clerk,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Typist,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Stenographer,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Salesman,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Sales Representative,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Auction Bidder,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Tradesman,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Bill Writer,,02-09-2024,02-09-2024,,11242,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Bill Collector,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Booking Clerk,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Bill Clerk,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Godown Keeper,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Assistant Salesman,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Godown In-charge,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Accounts Assistant,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Receptionist,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Lineman,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Tally Clerk,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Weighman,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Security Guard,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Driver,,02-09-2024,02-09-2024,,11192,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Peon,,02-09-2024,02-09-2024,,11131,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
Puducherry,Employment in Shops and Establishments,General category,Watchman,,02-09-2024,02-09-2024,,11131,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_43f6b9cf9c934dc1bee1966507243a8f.pdf,
