State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily rate,Monthly rate,PDF URL,Notes
Tamil Nadu,Manager,General Category,,01-04-2025,03-03-2025,565.5,14703,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Manager,General Category,,01-04-2025,03-03-2025,563.12,14641,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Manager,General Category,,01-04-2025,03-03-2025,560.65,14577,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Manager,General Category,,01-04-2025,03-03-2025,558.73,14527,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Manager,General Category,,01-04-2025,03-03-2025,565.5,14703,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Manager,General Category,,01-04-2025,03-03-2025,563.12,14641,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Manager,General Category,,01-04-2025,03-03-2025,560.65,14577,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Manager,General Category,,01-04-2025,03-03-2025,558.73,14527,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Field Officer,General Category,,01-04-2025,03-03-2025,565.5,14703,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Field Officer,General Category,,01-04-2025,03-03-2025,563.12,14641,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Field Officer,General Category,,01-04-2025,03-03-2025,560.65,14577,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Field Officer,General Category,,01-04-2025,03-03-2025,558.73,14527,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Development Officer,General Category,,01-04-2025,03-03-2025,565.5,14703,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Development Officer,General Category,,01-04-2025,03-03-2025,563.12,14641,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Development Officer,General Category,,01-04-2025,03-03-2025,560.65,14577,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Development Officer,General Category,,01-04-2025,03-03-2025,558.73,14527,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Officer in Charge,General Category,,01-04-2025,03-03-2025,565.5,14703,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Officer in Charge,General Category,,01-04-2025,03-03-2025,563.12,14641,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Officer in Charge,General Category,,01-04-2025,03-03-2025,560.65,14577,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Officer in Charge,General Category,,01-04-2025,03-03-2025,558.73,14527,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Asst Manager,General Category,,01-04-2025,03-03-2025,545.88,14193,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Asst Manager,General Category,,01-04-2025,03-03-2025,543.38,14128,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Asst Manager,General Category,,01-04-2025,03-03-2025,541,14066,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Asst Manager,General Category,,01-04-2025,03-03-2025,538.62,14004,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Accountant,General Category,,01-04-2025,03-03-2025,545.88,14193,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Accountant,General Category,,01-04-2025,03-03-2025,543.38,14128,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Accountant,General Category,,01-04-2025,03-03-2025,541,14066,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Accountant,General Category,,01-04-2025,03-03-2025,538.62,14004,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Supervisor,General Category,,01-04-2025,03-03-2025,545.88,14193,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Supervisor,General Category,,01-04-2025,03-03-2025,543.38,14128,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Supervisor,General Category,,01-04-2025,03-03-2025,541,14066,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Supervisor,General Category,,01-04-2025,03-03-2025,538.62,14004,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Executive,General Category,,01-04-2025,03-03-2025,545.88,14193,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
Tamil Nadu,Sales Executive,General Category,,01-04-2025,03-03-2025,543.38,14128,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_abe15b5a75234dd7b56cf4b3ae1e383e.pdf,
