State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN BUILDING OPERATIONS,"1st Class Mason, 1st Class Carpenter, 1st Class Painter, Mechanic, Stone Dresser, Piper, Fitter, Plumber, Tile Turner, Mason or Carpenter, Maistry, Stone Cutter, Welder, Electrician (Licensed Maistry or Works Maistry), Machinist, Supervisor.",,01-10-2025,Nil,,14000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN BUILDING OPERATIONS,"2nd Class Mason, 2nd Class Carpenter or Asst. Carpenter, 2nd Class Blacksmith, 2nd Class Painter, Fitter for Bending Bars for Reinforcement, Tinker, Sawer, Glazier, Brick Moulder, Pot Tile Turner, Brick & Lime Kiln-man, Assistant Fitter.",,01-10-2025,Nil,,13164,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN BUILDING OPERATIONS,"Mazdoor, Gang Mazdoor, Tachar, Mukkadam, Peon, Sweeper, Bhisthi, Scavenger, Watchman, Security Guard.",,01-10-2025,Nil,,12432,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN BUILDING OPERATIONS,"Clerks, Store-keeper, Muster Clerk, Typist, Steno, Accountant, Computer Operator.",,01-10-2025,Nil,,13364,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN BUILDING OPERATIONS,Double Bullock Cart / Single Bullock Cart (Cartman).,,01-10-2025,Nil,,12432,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN THE CONSTRUCTION OR IN MAINTENANCE OF ROADS (specific),Driver of Bulldozers and Earth Moving Machinery / Driver of Lorries and Road Rollers.,,01-10-2025,Nil,,14200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN THE CONSTRUCTION OR IN MAINTENANCE OF ROADS (specific),Tractor Drivers.,,01-10-2025,Nil,,13582,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN THE CONSTRUCTION OR IN MAINTENANCE OF ROADS (specific),Drivers of Pump Engines and Motor Mills.,,01-10-2025,Nil,,13164,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,CONSTRUCTION OR MAINTENANCE OF ROADS AND BUILDING OPERATIONS,EMPLOYMENT IN THE CONSTRUCTION OR IN MAINTENANCE OF ROADS (specific),Pump & Engine Cleaner / Hammer Man / Fireman.,,01-10-2025,Nil,,12432,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
Telangana,METAL FOUNDRIES AND GENERAL ENGINEERING,HIGHLY SKILLED,Foreman / Chargehand.,,01-10-2025,Nil,,14829,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_d96d8fdfbba347a99d9d7eb5f41e1820.pdf,
