State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Tripura,Agriculture Operations,Adult Male & Female (Daily Rated),-,,01-10-2025,28-10-2025,433,,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Agriculture Operations,Young Workers (Daily Rated),-,,01-10-2025,28-10-2025,301,,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Beedi Workers (per 1000 rolled),None,-,,01-10-2025,28-10-2025,219,,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Construction or Maintenance of Roads or Building,Highly Skilled,-,,01-10-2025,28-10-2025,503,13078,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Construction or Maintenance of Roads or Building,Skilled,-,,01-10-2025,28-10-2025,440,11440,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Construction or Maintenance of Roads or Building,Semi-skilled,-,,01-10-2025,28-10-2025,378,9828,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Construction or Maintenance of Roads or Building,Un-skilled,-,,01-10-2025,28-10-2025,328,8528,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Mechanical Workshops,Highly Skilled,,,01-10-2025,28-10-2025,,21876,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Mechanical Workshops,Skilled,,,01-10-2025,28-10-2025,,10484,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Mechanical Workshops,Semi-skilled,,,01-10-2025,28-10-2025,,9069,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
Tripura,Mechanical Workshops,Un-skilled,,,01-10-2025,28-10-2025,,8804,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_313f3a6a2c744ea3a3651dc0a785b396.pdf,
