State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Uttarakhand,Shops and Establishments,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Shops and Establishments,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Mechanical Workshops / Factory Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Tea Plantation Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Construction Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Security Guards ,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Skilled,,,01-04-2024,15-03-2024,,14023,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15275,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14340,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Unskilled,,,01-04-2024,15-03-2024,,12391,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Skilled,,,01-04-2024,15-03-2024,,13838,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Clerical Category I,,,01-04-2024,15-03-2024,,15035,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Domestic Workers,Clerical Category II,,,01-04-2024,15-03-2024,,14139,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Agriculture & Allied Workers,Unskilled,,,01-04-2024,15-03-2024,,12539,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
Uttarakhand,Agriculture & Allied Workers,Semi-skilled,,,01-04-2024,15-03-2024,,13280,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_377ff64856cd4198b10ee22f4807047a.pdf,
