State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily rate,Monthly rate,PDF URL,Notes
WestBengal,Employment in Engineering Units employing <50 persons,Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Semi-skilled,,01-07-2025,17-06-2025,437,11363,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Skilled,,01-07-2025,17-06-2025,481,12499,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Highly Skilled,,01-07-2025,17-06-2025,529,13748,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Unskilled,,01-07-2025,17-06-2025,375,9760,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Semi-skilled,,01-07-2025,17-06-2025,413,10733,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Skilled,,01-07-2025,17-06-2025,454,11807,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Bottling and Packaging Industry,Highly Skilled,,01-07-2025,17-06-2025,500,12990,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Hotels and Restaurants, Boarding Houses",Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Hotels and Restaurants, Boarding Houses",Semi-skilled,,01-07-2025,17-06-2025,437,11363,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
